"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"1",1,0.4132,0.7883,1,0.1821,0.467,0.3383,-0.0545,0.8,-0.0229,0.1983,-0.0994,0.75,0.1049,0.046,-0.0649,0.0906,0.0347,-0.0116,0.1088,0.0068,0.0992,0.1123,0.2,0.3,0.3,-0.0859,-0.2,0.7,-0.0386,-0.0497,-0.069,-0.0974,0.0196,-0.1855,0.0919,0.1046,0.2081,3e-04,0.0344,0.098,0.0993,0.0632,0.039,-0.0923,0.0507,0.0558,-0.0239,-0.0429,0.3177,0.2882,0.2707,0.2048,0.2543,-0.0398,-0.0262,0.0935,0.0327,-0.0372,-0.0815,0.2802,-0.1157,0.2513,0.0987,0.0024,-0.0175,-0.0375,-0.0356,0.091,0.042,0.06,-0.2,-0.2,-0.3117,0.1365,0.132
"2",0.4132,1,0.5309,0.1405,1,0.2478,0.9,-0.0801,0.2363,0.0712,0.0767,0.0591,0.6,0.1561,0.0578,0.0879,-0.0859,0.1363,0.007,0.0024,0.0959,0.0671,0.0873,0.4,0.0951,0.1065,0.0812,0.3,0.3,0.0727,-0.0103,-0.0075,-0.0077,0.0376,0.019,-0.0845,-0.0113,-0.0021,-0.0277,-0.0406,0.1156,-0.0064,-0.0178,0.0292,-0.0283,0.0084,-0.0928,0.0736,-0.0023,0.2905,0.2031,0.3568,0.2593,0.2538,-0.0748,-0.0095,0.0646,-0.0477,0.0831,-0.0826,0.2396,0.0319,0.2467,0.1132,-0.043,0.0214,-0.0061,0.0164,0.0174,0.0088,0.0822,-0.1658,-0.0395,-0.0224,0.0132,0.1777
"3",0.7883,0.5309,1,0.4373,0.2486,1,0.4323,0.0013,0.7,-0.0339,0.1843,0.0513,0.8,0.196,-0.1148,-0.0327,-0.0511,0.2885,0.0079,-0.0045,0.0226,0.0996,0.2,0.2697,0.1325,0.1301,-0.0115,0.3,0.7,-0.0078,-0.0201,-0.0493,-0.1545,-0.0551,-0.1214,-0.0279,0.1736,0.1954,-0.0024,-0.0405,0.1189,0.0494,0.0396,0.0695,-0.071,0.001,-0.1575,-0.0143,-0.0346,0.3174,0.2821,0.303,0.2151,0.3217,-0.0954,0.0656,0.1715,0.0175,-0.0141,-0.1296,0.4077,0.0045,0.3298,0.2422,-0.0227,0.025,6e-04,-0.1176,-0.0897,-0.0845,0.0959,-0.3296,-0.1866,-0.2643,0.1008,0.2846
"4",1,0.1405,0.4373,1,0.0264,0.1414,0.0457,-0.0887,0.3556,-0.0199,0.0295,-0.1402,0.2179,0.0585,0.1521,-0.0556,0.1687,-0.1225,0.0081,0.1765,-0.0567,0.075,0.0656,0.1337,0.2946,0.2645,-0.1134,-0.2857,0.3589,-0.0137,-0.0265,-0.0031,-0.0709,-0.0064,-0.1133,0.1296,0.0667,0.0945,0.0419,0.0452,0.0347,0.1196,0.0122,0.0325,-0.0544,0.0716,0.2362,-0.0474,-0.0682,0.1075,0.1628,0.0444,0.0506,0.0637,0.0716,-0.0282,0.0336,0.0156,-0.0074,-0.0413,0.0692,-0.1128,-0.0224,-0.0863,0.041,-0.0737,-0.0372,0.0718,0.1997,0.1046,0.0391,-0.0647,-0.1018,-0.1597,0.1226,0.0462
"5",0.1821,1,0.2486,0.0264,1,0.0711,0.6789,-0.0398,-0.0089,0.0599,-0.06,-0.0554,0.1584,0.0954,0.0754,0.1946,-0.1327,0.061,0.0063,-0.0329,0.0489,0.1197,0.0729,0.2734,0.0772,0.0829,0.1486,0.1794,0.2337,-0.0167,-0.0375,0.0509,0.0814,-0.0106,-0.0205,-0.1666,-0.0963,-0.0173,-0.0214,0.025,0.1395,-0.0396,-0.0511,0.0116,-9e-04,-0.0044,-0.0926,0.0809,-0.0076,-0.0333,-0.0617,0.1091,0.0909,0.0473,-0.0185,-0.043,0.0071,-0.0741,0.0475,-0.0473,0.0053,0.1008,-0.0566,0.0032,-0.047,-0.0126,-0.0156,0.0685,0.0476,0.0678,0.0615,0.0377,-0.0023,0.0596,-0.0899,0.1052
"6",0.467,0.2478,1,0.1414,0.0711,1,0.1396,0.0751,0.2944,-0.1005,0.0193,-0.0094,0.2517,0.16,-0.2226,-0.0237,-0.1268,0.2206,0.0245,-0.0617,-0.023,0.1656,0.0473,0.0851,0.0256,-0.01,0.0357,0.1882,0.3867,-0.0373,-0.0471,-0.0456,-0.0624,-0.0651,-0.0319,-0.1213,-0.015,0.1406,-0.0127,-0.0819,0.1107,0.0331,0.0612,0.0962,-0.0414,-0.0365,-0.2797,-0.0187,-0.0495,0.0443,0.0896,0.0359,0.0045,-0.0125,-0.1959,-0.0192,0.0474,-0.0152,-0.0019,-0.1383,0.2848,0.0488,0.1688,0.2317,-0.0357,0.0486,0.0348,-0.1242,-0.1604,-0.175,-0.0528,-0.1404,-0.1078,-0.0958,0.0278,0.1157
"7",0.3383,0.9,0.4323,0.0457,0.6789,0.1396,1,-0.1757,0.4168,0.0392,0.3023,-0.0036,0.8,-0.0491,0.0757,-0.1049,-0.0366,0.0516,-0.0146,0.023,0.1249,-0.0051,0.0168,0.1826,-0.0417,0.0691,-0.0017,0.0794,-0.1184,0.0713,-0.0941,-0.2768,-0.0411,0.2352,0.0708,-0.0171,-0.1239,0.0416,0.0152,-0.0608,0.046,0.0122,0.0398,0.0157,-0.0579,0.0025,-0.081,0.1215,-0.0057,0.5415,0.4034,0.5485,0.3841,0.313,-0.2252,-0.1378,-0.0216,-0.049,0.0559,-0.0329,0.3202,-0.1356,0.4844,0.1771,-0.1071,0.0866,-0.0416,0.0237,-0.0212,-0.0241,-0.1541,-0.3172,-0.0097,-0.1134,-0.0128,-0.0454
"8",-0.0545,-0.0801,0.0013,-0.0887,-0.0398,0.0751,-0.1757,1,-0.0498,-0.1752,-0.026,0.0682,-0.0328,0.1157,-0.24,0.0266,-0.0843,0.0359,-0.1001,0.0218,-0.0683,0.0713,-0.1003,-0.0512,0.2474,0.0684,0.1258,0.082,0.0219,-0.0524,0.1439,0.1672,0.013,-0.0024,-0.0073,0.0799,-0.0187,-0.0142,-0.1655,-0.0834,-0.0104,0.0498,0.1583,-0.0512,0.0544,-0.076,-0.2428,-0.1932,0.1115,-0.0528,0.0811,0.0643,0.1016,-0.0906,0.0262,-0.0058,0.1205,-0.1275,-0.0811,-0.1833,0.1966,-0.0067,0.0365,0.0372,0.1316,0.1041,0.081,-0.067,-0.0798,-0.1317,0.1674,0.0355,-0.0095,0.029,0.1194,0.0126
"9",0.8,0.2363,0.7,0.3556,-0.0089,0.2944,0.4168,-0.0498,1,-0.0766,0.7156,-0.0492,0.95,-0.3151,-0.0885,-0.0512,0.0474,-0.0311,-0.0306,-0.0071,0.0093,0.0144,0.0489,-0.2583,0.1972,0.0769,0.0348,-0.2212,-0.7,-0.0189,-0.0684,-0.5,-0.2971,0.3944,-0.4933,-0.0274,-0.0709,0.5,0.0636,0.1241,0.0204,0.011,0.0565,0.0414,-0.0834,0.0799,0.017,0.0175,-0.0226,0.594,0.4489,0.5943,0.4408,0.432,-0.2659,-0.2165,0.0437,0.0895,-0.066,-0.0137,0.3538,-0.329,0.4193,0.1689,-0.0096,0.0947,-0.0272,-0.0655,-0.0301,-0.0213,-0.2744,-0.7,-0.1201,-0.9,-0.1021,-0.2035
"10",-0.0229,0.0712,-0.0339,-0.0199,0.0599,-0.1005,0.0392,-0.1752,-0.0766,1,-0.0384,0.0614,-0.0371,0.3,0.2173,0.0787,-0.0551,-0.1044,0.0022,0.0653,-0.1223,0.0479,-0.1672,0.0883,0.0413,-0.0062,-0.0318,0.171,0.0832,0.0482,-0.0528,0.147,-0.0271,-0.0766,0.0529,0.2115,0.0018,0.0044,0.0432,0.0181,-0.0954,-0.0332,-0.1207,0.0262,0.0753,-0.1044,-0.004,0.2655,0.0222,0.1494,-0.0994,0.0416,0.1544,5e-04,0.1428,0.0112,-0.1927,0.0497,0.0473,0.0458,-0.2157,-0.0047,-0.0694,0.1231,-0.0806,-0.0055,-0.2504,-0.072,0.0346,-0.0213,0.054,-0.0022,-0.0304,0.066,0.2749,0.0265
